"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",18266821,2021
"Africa","af","Egypt","afegy","egy",591912907,2021
"Africa","af","Libya","aflby","lby",531,2021
"Africa","af","Morocco","afmar","mar",416938406,2021
"Africa","af","Sudan","afsdn","sdn",263241,2021
"Africa","af","Tunisia","aftun","tun",140150114,2021
"Africa","af","Burundi","afbdi","bdi",1523867.9999999998,2021
"Africa","af","Comoros","afcom","com",121346,2021
"Africa","af","Eritrea","aferi","eri",130781,2021
"Africa","af","Ethiopia","afeth","eth",29559954,2021
"Africa","af","Kenya","afken","ken",99578684,2021
"Africa","af","Madagascar","afmdg","mdg",10432448,2021
"Africa","af","Mozambique","afmoz","moz",51682245,2021
"Africa","af","Mauritius","afmus","mus",7443628,2021
"Africa","af","Malawi","afmwi","mwi",72260490,2021
"Africa","af","Rwanda","afrwa","rwa",5294244,2021
"Africa","af","Somalia","afsom","som",112348,2021
"Africa","af","South Sudan","afssd","ssd",38330,2021
"Africa","af","Seychelles","afsyc","syc",184871.00000000003,2021
"Africa","af","Tanzania","aftza","tza",36157537,2021
"Africa","af","Uganda","afuga","uga",14837597,2021
"Africa","af","Angola","afago","ago",2447716.0000000005,2021
"Africa","af","Central African Republic","afcaf","caf",109954,2021
"Africa","af","Cameroon","afcmr","cmr",4266833,2021
"Africa","af","Democratic Republic of the Congo","afcod","cod",325577,2021
"Africa","af","Republic of the Congo","afcog","cog",144462,2021
"Africa","af","Gabon","afgab","gab",49542641.99999999,2021
"Africa","af","Equatorial Guinea","afgnq","gnq",6190,2021
"Africa","af","Sao Tome and Principe","afstp","stp",74569,2021
"Africa","af","Chad","aftcd","tcd",10780,2021
"Africa","af","Botswana","afbwa","bwa",15712026.000000002,2021
"Africa","af","Lesotho","aflso","lso",72035,2021
"Africa","af","Namibia","afnam","nam",1638227,2021
"Africa","af","Eswatini","afswz","swz",2034542,2021
"Africa","af","South Africa","afzaf","zaf",610051916,2021
"Africa","af","Zambia","afzmb","zmb",15018681,2021
"Africa","af","Zimbabwe","afzwe","zwe",32612265,2021
"Africa","af","Benin","afben","ben",848315,2021
"Africa","af","Burkina Faso","afbfa","bfa",122949,2021
"Africa","af","Cote d'Ivoire","afciv","civ",198307031,2021
"Africa","af","Cape Verde","afcpv","cpv",24278.999999999996,2021
"Africa","af","Ghana","afgha","gha",81663876,2021
"Africa","af","Guinea","afgin","gin",102490643.99999999,2021
"Africa","af","Gambia","afgmb","gmb",3754,2021
"Africa","af","Liberia","aflbr","lbr",5185202,2021
"Africa","af","Mali","afmli","mli",652358,2021
"Africa","af","Mauritania","afmrt","mrt",49804298,2021
"Africa","af","Niger","afner","ner",170009,2021
"Africa","af","Nigeria","afnga","nga",37341219,2021
"Africa","af","Senegal","afsen","sen",2476900,2021
"Africa","af","Saint Helena","afshn","shn",23807,2021
"Africa","af","Sierra Leone","afsle","sle",636933,2021
"Africa","af","Togo","aftgo","tgo",959672,2021
"Asia","as","Kazakhstan","askaz","kaz",7422428141,2021
"Asia","as","Kyrgyzstan","askgz","kgz",414386163,2021
"Asia","as","Tajikistan","astjk","tjk",99096274,2021
"Asia","as","Turkmenistan","astkm","tkm",140605201,2021
"Asia","as","Uzbekistan","asuzb","uzb",1710625051,2021
"Asia","as","China","aschn","chn",69623793676,2021
"Asia","as","Hong Kong","ashkg","hkg",862446650,2021
"Asia","as","Japan","asjpn","jpn",8423291756,2021
"Asia","as","South Korea","askor","kor",10256712582,2021
"Asia","as","Macau","asmac","mac",1154782,2021
"Asia","as","Mongolia","asmng","mng",114801702,2021
"Asia","as","North Korea","asprk","prk",40571,2021
"Asia","as","Chinese Taipei","astwn","twn",1899106297,2021
"Asia","as","Brunei","asbrn","brn",3950,2021
"Asia","as","Cocos (Keeling) Islands","ascck","cck",12461,2021
"Asia","as","Christmas Island","ascxr","cxr",805,2021
"Asia","as","Indonesia","asidn","idn",2142732393,2021
"Asia","as","Cambodia","askhm","khm",187292038,2021
"Asia","as","Laos","aslao","lao",11783493,2021
"Asia","as","Burma","asmmr","mmr",131744446,2021
"Asia","as","Malaysia","asmys","mys",1492808128,2021
"Asia","as","Philippines","asphl","phl",499450620,2021
"Asia","as","Singapore","assgp","sgp",672957330,2021
"Asia","as","Thailand","astha","tha",1768234803,2021
"Asia","as","TimorLeste","astls","tls",7249,2021
"Asia","as","Vietnam","asvnm","vnm",4145109886,2021
"Asia","as","Afghanistan","asafg","afg",4722184,2021
"Asia","as","Bangladesh","asbgd","bgd",1273263088,2021
"Asia","as","Bhutan","asbtn","btn",9511.999999999998,2021
"Asia","as","India","asind","ind",3977243755,2021
"Asia","as","Iran","asirn","irn",578521432,2021
"Asia","as","Sri Lanka","aslka","lka",225317533,2021
"Asia","as","Maldives","asmdv","mdv",3749,2021
"Asia","as","Nepal","asnpl","npl",2517921,2021
"Asia","as","Pakistan","aspak","pak",340141005,2021
"Asia","as","United Arab Emirates","asare","are",1212436277,2021
"Asia","as","Armenia","asarm","arm",792391244,2021
"Asia","as","Azerbaijan","asaze","aze",931897806,2021
"Asia","as","Bahrain","asbhr","bhr",15121237,2021
"Asia","as","Georgia","asgeo","geo",612850970,2021
"Asia","as","Iraq","asirq","irq",49098,2021
"Asia","as","Israel","asisr","isr",827433808,2021
"Asia","as","Jordan","asjor","jor",83191765,2021
"Asia","as","Kuwait","askwt","kwt",1859988,2021
"Asia","as","Lebanon","aslbn","lbn",20264912,2021
"Asia","as","Oman","asomn","omn",7977345,2021
"Asia","as","Palestine","aspse","pse",68004,2021
"Asia","as","Qatar","asqat","qat",52735856,2021
"Asia","as","Saudi Arabia","assau","sau",337018677,2021
"Asia","as","Turkey","astur","tur",6301613486,2021
