admin2,event_type,fatalities
Simferopolskyi,Explosions/Remote violence,14
Skadovskyi,Battles,256
Skadovskyi,Explosions/Remote violence,763
Starobilskyi,Battles,21
Starobilskyi,Explosions/Remote violence,100
Stryiskyi,Explosions/Remote violence,1
Sumskyi,Battles,49
Sumskyi,Explosions/Remote violence,691
Svativskyi,Battles,1565
Svativskyi,Explosions/Remote violence,2088
Synelnykivskyi,Battles,0
Synelnykivskyi,Explosions/Remote violence,61
Ternopilskyi,Explosions/Remote violence,1
Tiachivskyi,Explosions/Remote violence,0
Tulchynskyi,Explosions/Remote violence,0
Umanskyi,Explosions/Remote violence,37
Varaskyi,Explosions/Remote violence,2
Vasylivskyi,Battles,349
Vasylivskyi,Explosions/Remote violence,832
Vinnytskyi,Explosions/Remote violence,39
Volnovaskyi,Battles,3832
Volnovaskyi,Explosions/Remote violence,2463
Volodymyrskyi,Battles,0
Volodymyrskyi,Explosions/Remote violence,3
Voznesenskyi,Battles,0
Voznesenskyi,Explosions/Remote violence,27
Vyshhorodskyi,Battles,4
Vyshhorodskyi,Explosions/Remote violence,24
Vyzhnytskyi,Battles,0
Yaltynskyi,Explosions/Remote violence,12
Yavorivskyi,Battles,0
Yavorivskyi,Explosions/Remote violence,35
Yevpatoriiskyi,Battles,56
Yevpatoriiskyi,Explosions/Remote violence,71
Zaporizkyi,Battles,1904
Zaporizkyi,Explosions/Remote violence,684
Zhmerynskyi,Explosions/Remote violence,4
Zhytomyrskyi,Battles,1
Zhytomyrskyi,Explosions/Remote violence,19
Zolochivskyi,Explosions/Remote violence,5
Zolotoniskyi,Explosions/Remote violence,0
Zvenyhorodskyi,Explosions/Remote violence,0
Zviahelskyi,Explosions/Remote violence,1
