Date,Food Price Index,Meat,Cereals,Oils,Sugar
2005-01-01,65.8177319736145,69.90049344214842,60.49896336476862,63.14893798093526,53.96736245509033
2005-02-01,66.23941712122453,71.11441563175153,60.27037833192888,62.26632197577167,56.33154727077297
2005-03-01,67.50594388825047,71.71602599392303,61.54803977872932,66.74267313018764,54.96266033459896
2005-04-01,65.96669903969146,70.401145584048,59.54505267504478,65.07478932076579,53.15695320072733
2005-05-01,66.54767814775897,72.58820520988921,59.36642199345889,64.22690057351276,53.132051534547806
2005-06-01,67.38304692978906,73.64914393415295,60.164119707330514,64.63713855623178,56.015085805742814
2005-07-01,67.66906438965067,72.64203443632819,61.182181076640106,64.43517445949284,59.65201500660399
2005-08-01,67.63660945206585,72.79863036965789,60.947789543683605,62.50964334981427,61.48219457803816
2005-09-01,68.63512237975604,73.87776739820329,61.53264342255477,64.00235215017715,63.80425733168574
2005-10-01,69.54318230968269,73.76740940260608,62.07397201870674,66.80753884402131,68.82584776599346
2005-11-01,69.04000314184032,74.10496853720882,60.59673004002824,65.44132746850877,70.43391404975792
2005-12-01,69.77709866672278,74.38883267854597,61.472838447617995,63.49195562755826,82.58512343370562
2006-01-01,69.80112611182506,71.20182268965758,62.74352301876942,63.67327271248753,97.45244957283828
2006-02-01,70.80718522511454,68.84752853311754,64.7910731274822,64.98834715617325,111.05406380379247
2006-03-01,69.78477113408601,67.95247188867636,63.928474835239456,65.15630922012828,106.69649644628127
2006-04-01,70.10160507240967,67.36227024089186,65.12106361666847,66.75830033921292,108.22450761325608
2006-05-01,71.32836310002254,68.98961215078482,67.7871224680707,68.28309273141605,104.09780545861483
2006-06-01,71.39458097519727,71.341642156658,67.78429956124934,67.93735981760595,95.30131532229025
2006-07-01,73.17238569154549,72.65323413371252,69.85457889334856,70.44588721324885,99.32670515747391
2006-08-01,73.06272062248945,74.78380233434652,69.6462169104853,73.54572923906005,83.24985121420148
2006-09-01,73.18589980103584,75.34710545901181,72.53916248933173,71.7034921010491,74.77867210713228
2006-10-01,75.12702769544278,74.25571763950178,79.85754290451833,72.69758563718393,72.03225542247081
2006-11-01,77.65624075166323,72.61998633133088,85.33230128782064,78.34697735991229,72.89584359815285
2006-12-01,78.8018722459415,71.32548713206897,85.35516442425448,83.00505253905517,71.60776171551588
2007-01-01,78.48310271648208,70.69703386512866,85.10891731313366,82.27075995686415,67.75566550882263
2007-02-01,80.04314376373223,72.21859946976429,87.01684140099431,82.87024233885491,65.41328806943922
2007-03-01,81.11242078451266,73.86323321448427,86.42964367426433,84.41828569352397,64.60877270056247
2007-04-01,83.86721105807557,75.75746995374247,85.07588981924538,92.7592497781534,60.15299527293748
2007-05-01,86.47173131395098,77.54881395287948,86.56297461734206,100.25345854845983,58.35830714236629
2007-06-01,91.38305704007934,78.82426022550874,91.94718045533855,104.92411526100337,57.491905975883654
2007-07-01,95.5415692416268,79.90575717821883,94.85390282724232,108.5781594365497,62.9378561652031
2007-08-01,99.11064600454125,79.94641037741263,102.13852226175487,112.79817485547257,60.683060582866275
2007-09-01,105.31050859193547,81.35339130387767,117.15778236928273,118.24714214415421,60.37665271691669
2007-10-01,107.8620331959691,80.0519257331198,121.33372722424738,125.85059371436603,61.891178979607666
2007-11-01,110.75835435010842,81.13451314228342,121.03796689438724,136.2503391120927,62.489184132560304
2007-12-01,114.65922974792855,81.77931911255605,132.23404696259226,138.55715162548248,66.27084840769226
2008-01-01,120.40116381937398,82.79569742647095,140.97686975332374,154.09675236708162,74.1391855318715
2008-02-01,128.38378539794326,80.57645990040074,160.82642185718515,168.63237904158967,83.60771256557462
2008-03-01,132.35867893364141,85.59329578050347,163.3315367807624,176.6016471901168,81.68925283979162
2008-04-01,130.66207894819286,87.01139140078473,162.73581812646003,169.40502328163345,77.73137478381383
2008-05-01,130.30230024083983,91.83437490418831,157.44070678663013,172.01814139872513,74.7017836919252
2008-06-01,132.7260693363295,93.57012409544062,160.28729664983305,178.31613778641312,75.03800306852868
2008-07-01,130.2073303521054,100.38502690700986,148.21039499182567,164.79942909636068,88.06348999319962
2008-08-01,121.20936181396463,102.08259422086316,136.51007774827985,135.61861672624036,90.39452170302195
2008-09-01,112.78634641548891,100.92658326972747,125.32846978285959,120.59239830168778,83.7373780462727
2008-10-01,97.78807979261839,95.65623285174584,104.92750466809048,92.21375071696663,73.64409915102428
2008-11-01,89.72736955347888,87.90967683165347,95.99249978591419,82.0299490236945,74.88181510314233
2008-12-01,86.30191521970283,81.79051355600437,95.13421693561969,78.55005828426157,72.71581218693574
2009-01-01,86.66916731756098,78.06190153000782,100.36729167675543,82.77786639675318,77.41913280498434
2009-02-01,84.48888211043203,75.95213244813975,97.21164769965797,82.23674590116377,81.87491023260934
2009-03-01,84.25333779799439,76.11918245036915,97.20889214711,81.4880995992628,82.9269687919097
2009-04-01,87.39567198461978,78.47276430220772,98.11301618483162,93.803813163422,84.45554799277548
2009-05-01,93.45147130110524,81.26185731089637,103.31104773970134,106.60507260192162,99.36108615614387
2009-06-01,93.40904442265668,83.37787296931239,102.98619431204455,100.7203983045275,101.66148752169659
2009-07-01,90.69194234157311,85.20497946596805,94.45961683306045,89.90346509621538,114.0330210612766
2009-08-01,93.4807348192325,85.35438121995985,91.90025141116715,97.85431528800916,138.84491264868325
2009-09-01,93.07955403971529,84.45193987590885,89.83589555222025,93.24716636643932,142.57014297028422
2009-10-01,94.82713805905587,82.60279489262025,93.82238434353734,95.17111550124794,140.13476269696628
2009-11-01,98.87024004816824,83.90736857736597,98.01742234570031,101.75547855044475,137.7784140699415
