Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
2005-01-01,65.8177319736145,69.90049344214842,76.21881756446444,60.49896336476862,63.14893798093526,53.96736245509033
2005-02-01,66.23941712122453,71.11441563175153,76.66764718966928,60.27037833192888,62.26632197577167,56.33154727077297
2005-03-01,67.50594388825047,71.71602599392303,77.00667737694059,61.54803977872932,66.74267313018764,54.96266033459896
2005-04-01,65.96669903969146,70.401145584048,76.17646355525639,59.54505267504478,65.07478932076579,53.15695320072733
2005-05-01,66.54767814775897,72.58820520988921,76.51078967793883,59.36642199345889,64.22690057351276,53.132051534547806
2005-06-01,67.38304692978906,73.64914393415295,76.36046465437391,60.164119707330514,64.63713855623178,56.015085805742814
2005-07-01,67.66906438965067,72.64203443632819,77.09911569520531,61.182181076640106,64.43517445949284,59.65201500660399
2005-08-01,67.63660945206585,72.79863036965789,78.34242863730444,60.947789543683605,62.50964334981427,61.48219457803816
2005-09-01,68.63512237975604,73.87776739820329,78.74656266687686,61.53264342255477,64.00235215017715,63.80425733168574
2005-10-01,69.54318230968269,73.76740940260608,78.49946708804961,62.07397201870674,66.80753884402131,68.82584776599346
2005-11-01,69.04000314184032,74.10496853720882,77.9655762912991,60.59673004002824,65.44132746850877,70.43391404975792
2005-12-01,69.77709866672278,74.38883267854597,76.92674117428238,61.472838447617995,63.49195562755826,82.58512343370562
2006-01-01,69.80112611182506,71.20182268965758,74.33502425159384,62.74352301876942,63.67327271248753,97.45244957283828
2006-02-01,70.80718522511454,68.84752853311754,74.45543302356798,64.7910731274822,64.98834715617325,111.05406380379247
2006-03-01,69.78477113408601,67.95247188867636,73.06998018636052,63.928474835239456,65.15630922012828,106.69649644628127
2006-04-01,70.10160507240967,67.36227024089186,71.60039966543243,65.12106361666847,66.75830033921292,108.22450761325608
2006-05-01,71.32836310002254,68.98961215078482,71.259657954217,67.7871224680707,68.28309273141605,104.09780545861483
2006-06-01,71.39458097519727,71.341642156658,71.00055587078161,67.78429956124934,67.93735981760595,95.30131532229025
2006-07-01,73.17238569154549,72.65323413371252,71.28180873558216,69.85457889334856,70.44588721324885,99.32670515747391
2006-08-01,73.06272062248945,74.78380233434652,70.29798391146184,69.6462169104853,73.54572923906005,83.24985121420148
2006-09-01,73.18589980103584,75.34710545901181,70.3439299175523,72.53916248933173,71.7034921010491,74.77867210713228
2006-10-01,75.12702769544278,74.25571763950178,71.90488977279357,79.85754290451833,72.69758563718393,72.03225542247081
