destination_name,origin_name,2019,2020,2021,2022
GB,HU,7192.0,2958.0,2187.0,5675.0
CH,AT,7172.0,3209.0,4093.0,5770.0
IT,AT,7136.0,2975.0,4380.0,8214.0
GR,IT,7097.0,2256.0,2931.0,5097.0
CZ,GB,6936.0,2573.0,1724.0,4787.0
GB,CZ,6859.0,2634.0,1736.0,4836.0
AT,IT,6664.0,2603.0,3917.0,7548.0
GB,NO,6650.0,3127.0,2471.0,7366.0
ES,IE,6542.0,2681.0,3286.0,8889.0
HU,GB,6458.0,2916.0,2189.0,5534.0
GR,FR,6408.0,2096.0,2702.0,4070.0
NO,DE,6347.0,2854.0,2934.0,5926.0
NL,CH,6322.0,3117.0,4146.0,7625.0
IT,GR,6300.0,2144.0,3139.0,5891.0
FR,RU,6258.0,1576.0,1540.0,486.0
FR,IE,6186.0,2312.0,2594.0,7797.0
PT,CH,6143.0,4604.0,6320.0,9235.0
BE,BE,6132.0,7368.0,11765.0,16530.0
CH,NL,6040.0,3321.0,4167.0,7519.0
PT,NL,5998.0,3423.0,4697.0,7527.0
TR,FR,5989.0,2946.0,3840.0,6429.0
IE,FR,5989.0,2260.0,2596.0,7442.0
RU,FR,5977.0,1570.0,1824.0,485.0
TR,IT,5966.0,1803.0,2748.0,5096.0
IT,PT,5940.0,2553.0,3652.0,7958.0
PT,IT,5853.0,2547.0,3604.0,7957.0
DE,NO,5842.0,2605.0,2856.0,6080.0
CH,PT,5751.0,4548.0,6197.0,8794.0
BE,CH,5699.0,2385.0,2898.0,4592.0
CZ,DE,5660.0,3095.0,3805.0,6051.0
FR,GR,5642.0,1902.0,2692.0,5124.0
PL,IT,5594.0,2924.0,3980.0,8499.0
SE,ES,5555.0,2121.0,3830.0,5784.0
IT,PL,5544.0,2997.0,4076.0,8174.0
CH,BE,5521.0,2492.0,2886.0,4409.0
TR,RU,5275.0,7444.0,5663.0,6644.0
DE,CZ,5251.0,3011.0,3735.0,5841.0
NL,PT,5242.0,3093.0,4675.0,7352.0
DK,NL,5215.0,2960.0,3257.0,7171.0
ES,RU,5142.0,1151.0,1204.0,259.0
AT,NL,5077.0,2365.0,2561.0,4379.0
RU,ES,5071.0,1248.0,1557.0,300.0
DK,ES,5065.0,1881.0,4088.0,6324.0
FR,AT,5006.0,1874.0,2539.0,5150.0
HR,DE,4924.0,2775.0,3179.0,3028.0
IE,IE,4905.0,7058.0,9246.0,11966.0
AT,FR,4841.0,1811.0,2498.0,4871.0
RO,DE,4834.0,2900.0,3259.0,5981.0
LV,RU,4818.0,2120.0,1675.0,250.0
RU,LV,4758.0,1684.0,1532.0,262.0
IE,NL,4712.0,2264.0,2334.0,5323.0
ES,AT,4657.0,2225.0,3683.0,7079.0
NL,AT,4619.0,1963.0,2449.0,4268.0
AT,ES,4596.0,2086.0,3585.0,6791.0
SE,NL,4567.0,2115.0,2446.0,3976.0
ES,SE,4536.0,2049.0,3866.0,6381.0
UA,DE,4528.0,2541.0,3233.0,506.0
NL,DK,4520.0,2705.0,3258.0,6990.0
CZ,RU,4439.0,1213.0,646.0,145.0
GB,RU,4413.0,2254.0,1587.0,335.0
NL,IE,4410.0,2088.0,2330.0,5260.0
PL,NL,4344.0,2775.0,4123.0,6415.0
IT,RO,4250.0,1921.0,3346.0,6759.0
ES,DK,4239.0,1856.0,4171.0,7092.0
IT,IE,4230.0,1523.0,1826.0,5176.0
GB,IS,4226.0,1720.0,1187.0,2828.0
IT,DK,4210.0,1271.0,2297.0,4882.0
GR,NL,4199.0,1366.0,1949.0,2778.0
LV,DE,4198.0,2081.0,2173.0,2844.0
FR,DK,4186.0,1650.0,2484.0,5263.0
DK,IT,4179.0,1258.0,2235.0,4818.0
IS,GB,4151.0,1584.0,1290.0,2957.0
BE,PT,4140.0,2480.0,3618.0,5177.0
IE,IT,4134.0,1483.0,1828.0,5184.0
DK,FR,4126.0,1646.0,2489.0,4953.0
TR,CH,4125.0,2674.0,3495.0,4797.0
CZ,IT,4057.0,1238.0,1465.0,3389.0
RU,GB,4046.0,2042.0,1311.0,325.0
RU,CZ,4038.0,1139.0,636.0,145.0
DE,RO,4035.0,2577.0,2940.0,5910.0
GB,TR,4025.0,3391.0,3607.0,7928.0
TR,NL,3995.0,2222.0,3413.0,3912.0
FI,GB,3992.0,1544.0,1310.0,2837.0
IT,CZ,3990.0,1308.0,1594.0,3501.0
IE,PT,3977.0,1362.0,2024.0,4440.0
GB,FI,3968.0,1522.0,1246.0,2852.0
PT,IE,3958.0,1362.0,2017.0,4496.0
DE,LV,3956.0,2028.0,2058.0,2414.0
PT,BE,3955.0,2308.0,3284.0,4833.0
DE,HR,3950.0,2509.0,2966.0,3673.0
GR,CH,3910.0,1784.0,2050.0,2904.0
NO,ES,3906.0,1059.0,1555.0,4981.0
DE,UA,3843.0,2287.0,3081.0,487.0
NL,SE,3778.0,1741.0,2419.0,4066.0
NL,PL,3774.0,2577.0,4097.0,6287.0
PL,FR,3769.0,1782.0,3017.0,5632.0
FR,PL,3728.0,1884.0,3245.0,5959.0
FR,TR,3722.0,1548.0,4409.0,6926.0
IT,TR,3700.0,847.0,2852.0,5048.0
AT,RU,3673.0,1392.0,1586.0,323.0
NO,NL,3662.0,2412.0,2844.0,4938.0
SE,PL,3611.0,1708.0,2814.0,5099.0
PL,SE,3603.0,1787.0,2721.0,5159.0
DK,FI,3586.0,1231.0,1287.0,2559.0
DE,LU,3578.0,2014.0,1848.0,3911.0
LU,DE,3563.0,2036.0,1827.0,3934.0
FI,DK,3557.0,1265.0,1310.0,2557.0
SE,BE,3454.0,1543.0,1795.0,2129.0
RO,GB,3454.0,2142.0,2934.0,6027.0
IT,HU,3446.0,1180.0,1558.0,3709.0
RU,CH,3414.0,1448.0,1772.0,413.0
SE,FR,3358.0,1424.0,2117.0,4299.0
RO,IT,3357.0,1492.0,2967.0,6420.0
GB,RO,3338.0,2197.0,3127.0,6205.0
FR,SE,3337.0,1458.0,2056.0,4369.0
