admin3,event_type,year,fatalities
Blahovishchenska,Explosions/Remote violence,2023,0
Blahovishchenska,Explosions/Remote violence,2024,0
Blyzniukivska,Explosions/Remote violence,2022,0
Blyzniukivska,Explosions/Remote violence,2023,0
Blyzniukivska,Explosions/Remote violence,2024,5
Bobrovytska,Battles,2022,0
Bobrovytska,Explosions/Remote violence,2022,1
Bobrovytska,Explosions/Remote violence,2023,0
Bobrovytska,Explosions/Remote violence,2024,0
Bochechkivska,Explosions/Remote violence,2024,0
Bohodukhivska,Battles,2022,2
Bohodukhivska,Explosions/Remote violence,2022,113
Bohodukhivska,Explosions/Remote violence,2023,1
Bohodukhivska,Explosions/Remote violence,2024,2
Boiarska,Explosions/Remote violence,2022,0
Boikivska,Battles,2020,0
Boikivska,Battles,2021,1
Boikivska,Battles,2022,10
Boikivska,Battles,2023,5
Boikivska,Battles,2024,5
Boikivska,Explosions/Remote violence,2020,0
Boikivska,Explosions/Remote violence,2021,0
Boikivska,Explosions/Remote violence,2022,1
Boikivska,Explosions/Remote violence,2023,2
Boikivska,Explosions/Remote violence,2024,0
Bolhradska,Explosions/Remote violence,2024,0
Borivska,Battles,2022,4
Borivska,Battles,2023,16
Borivska,Battles,2024,185
Borivska,Explosions/Remote violence,2022,50
Borivska,Explosions/Remote violence,2023,38
Borivska,Explosions/Remote violence,2024,106
Borodianska,Battles,2022,20
Borodianska,Explosions/Remote violence,2022,34
Boromlianska,Battles,2022,0
Boromlianska,Explosions/Remote violence,2023,0
Boromlianska,Explosions/Remote violence,2024,0
Borozenska,Battles,2022,38
Borozenska,Explosions/Remote violence,2022,42
Borozenska,Explosions/Remote violence,2023,2
Borozenska,Explosions/Remote violence,2024,5
Borshchahivska,Explosions/Remote violence,2022,0
Boryspilska,Battles,2022,0
Boryspilska,Explosions/Remote violence,2024,0
Borznianska,Explosions/Remote violence,2022,0
Borznianska,Explosions/Remote violence,2024,0
Brodivska,Explosions/Remote violence,2022,0
Brovarska,Battles,2022,30
Brovarska,Explosions/Remote violence,2022,7
Brovarska,Explosions/Remote violence,2023,0
Brovarska,Explosions/Remote violence,2024,2
Brusylivska,Explosions/Remote violence,2022,0
Buchanska,Battles,2022,23
Buchanska,Explosions/Remote violence,2022,21
Buchanska,Explosions/Remote violence,2023,0
Buchanska,Explosions/Remote violence,2024,0
Burshtynska,Explosions/Remote violence,2022,0
Burshtynska,Explosions/Remote violence,2024,0
Burynska,Battles,2022,0
Burynska,Explosions/Remote violence,2022,0
Burynska,Explosions/Remote violence,2023,0
Burynska,Explosions/Remote violence,2024,3
Buska,Explosions/Remote violence,2023,0
Buska,Explosions/Remote violence,2024,0
Buzka,Explosions/Remote violence,2022,0
Byshivska,Battles,2022,15
Byshivska,Explosions/Remote violence,2022,0
Chabanivska,Explosions/Remote violence,2022,0
Chaikynska,Explosions/Remote violence,2024,0
Chaplynska,Battles,2022,0
Chaplynska,Explosions/Remote violence,2022,60
Chaplynska,Explosions/Remote violence,2023,1
Chaplynska,Explosions/Remote violence,2024,0
Chasovoiarska,Battles,2022,10
Chasovoiarska,Battles,2023,207
Chasovoiarska,Battles,2024,431
Chasovoiarska,Explosions/Remote violence,2022,121
Chasovoiarska,Explosions/Remote violence,2023,135
Chasovoiarska,Explosions/Remote violence,2024,107
Cherkaska,Battles,2022,0
Cherkaska,Explosions/Remote violence,2022,19
Cherkaska,Explosions/Remote violence,2023,0
Cherkaska,Explosions/Remote violence,2024,3
Chernechchynska,Battles,2022,2
Chernechchynska,Explosions/Remote violence,2023,0
Chernechchynska,Explosions/Remote violence,2024,0
Cherniakhivska,Explosions/Remote violence,2022,4
Chernihivska,Battles,2022,116
Chernihivska,Explosions/Remote violence,2022,183
Chernihivska,Explosions/Remote violence,2023,10
Chernihivska,Explosions/Remote violence,2024,20
Chervonohradska,Explosions/Remote violence,2022,0
Chervonohradska,Explosions/Remote violence,2024,1
Chervonohryhorivska,Explosions/Remote violence,2022,12
Chervonohryhorivska,Explosions/Remote violence,2023,3
Chervonohryhorivska,Explosions/Remote violence,2024,5
Chkalovska,Battles,2022,0
Chkalovska,Explosions/Remote violence,2022,16
Chkalovska,Explosions/Remote violence,2023,10
Chkalovska,Explosions/Remote violence,2024,0
Chmyrivska,Battles,2022,0
Chmyrivska,Battles,2023,18
Chmyrivska,Battles,2024,3
Chmyrivska,Explosions/Remote violence,2021,1
Chmyrivska,Explosions/Remote violence,2022,0
Chmyrivska,Explosions/Remote violence,2023,5
Chmyrivska,Explosions/Remote violence,2024,2
Chornobaivska,Battles,2022,41
Chornobaivska,Battles,2023,0
Chornobaivska,Explosions/Remote violence,2022,243
Chornobaivska,Explosions/Remote violence,2023,21
Chornobaivska,Explosions/Remote violence,2024,1
Chornobylska Zona Vidchuzhennia,Battles,2022,0
Chornobylska Zona Vidchuzhennia,Explosions/Remote violence,2022,4
Chornomorska,Explosions/Remote violence,2022,0
Chornomorska,Explosions/Remote violence,2023,2
Chornomorska,Explosions/Remote violence,2024,0
Chornomorska (miska),Explosions/Remote violence,2022,0
Chornomorska (miska),Explosions/Remote violence,2023,0
Chornomorska (miska),Explosions/Remote violence,2024,2
Chornomorska (selyshchna),Explosions/Remote violence,2022,2
